reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
No.17 Double Soleil,https://czapek.com/product/n17-double-soleil-deep-blue/,,czapek,,QUAI DES BERGUES,No.17 Double Soleil,,,,,,https://czapek.com/wp-content/uploads/2023/10/beauty-blue3.jpg,Switzerland,,Stainless steel case,,Sapphire crystal case back with anti-reflective treatment on the inside surface,40.5 mm,,,,,,Curved sapphire crystal with anti-reflective treatment on the inside surface,5 atm,,Deep Blue or Tuxedo Black Unique and Exclusive Czapek guilloché ‘Double Soleil’ design inspired by the 1930’s Art Déco era Czapek elongated indexes Rhodium plated arrow steel hands,Deep Blue or Tuxedo Black Unique and Exclusive Czapek guilloché ‘Double Soleil’ design inspired by the 1930’s Art Déco era Czapek elongated indexes Rhodium plated arrow steel hands,,,,,Calibre SXH1: Haute Horlogerie proprietary mechanical hand-wound movement,168 hours,3 Hz,,Hours & minutes Small second at 7h30 Power reserve indication with weekdays at 4h30,"Czapek introduces its seminal Quai des Bergues model in a 40.5mm steel case, with a newly developed hand-guilloché pattern on the dial.",
Rattrapante Ice Blue,https://czapek.com/product/rattrapante-ice-blue/,,czapek,,Antarctique Rattrapante,Rattrapante Ice Blue,Antarctique Chronograph,,,CHF,50000,https://czapek.com/wp-content/uploads/2022/03/ANT_RTRT_Ice_Blue_W_Soldier_Web-1024x1371.jpg,Switzerland,,42.5mm stainless-steel case,,Sapphire case back with anti-reflective treatment on the inner side,42.5 mm,,,15.3 mm,,,Sapphire crystal glass-box with anti-reflective treatment,12 atm,,Open-worked split-second chronograph on the dial side (world première) Sword hours and minutes hands with SuperLuminova treatment Split-second hand in full red Blue fumé sapphire glass minutes ring and counters made with PVD evaporation,Open-worked split-second chronograph on the dial side (world première) Sword hours and minutes hands with SuperLuminova treatment Split-second hand in full red Blue fumé sapphire glass minutes ring and counters made with PVD evaporation,"Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system Additional calf leather or rubber strap","Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system Additional calf leather or rubber strap","Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system Additional calf leather or rubber strap",,Calibre SXH6: haute horlogerie automatic power-horse movement with a split-second monopusher chronograph module,,4 Hz,,"Split-second monopusher chronograph, hours, minutes & seconds Chronograph's minutes at 4:30 Small seconds at 7:30 Split-second pusher at 10:30","Openworked split-second monopusher chronographAutomatic movement with 60 hours of power reserve42.5 mm. stainless steel case, water resistant at up 120 meters (12 ATM)Integrated metal braceletLimited Edition of 99 pieces",
No.17 Double Soleil,https://czapek.com/product/n17-double-soleil-tuxedo-black/,,czapek,,QUAI DES BERGUES,No.17 Double Soleil,,,,,,https://czapek.com/wp-content/uploads/2023/10/beauty-blue3.jpg,Switzerland,,Stainless steel case,,Sapphire crystal case back with anti-reflective treatment on the inside surface,40.5 mm,,,,,,Curved sapphire crystal with anti-reflective treatment on the inside surface,5 atm,,Deep Blue or Tuxedo Black Unique and Exclusive Czapek guilloché ‘Double Soleil’ design inspired by the 1930’s Art Déco era Czapek elongated indexes Rhodium plated arrow steel hands,Deep Blue or Tuxedo Black Unique and Exclusive Czapek guilloché ‘Double Soleil’ design inspired by the 1930’s Art Déco era Czapek elongated indexes Rhodium plated arrow steel hands,,,,,Calibre SXH1: Haute Horlogerie proprietary mechanical hand-wound movement,168 hours,3 Hz,,Hours & minutes Small second at 7h30 Power reserve indication with weekdays at 4h30,"Czapek introduces its seminal Quai des Bergues model in a 40.5mm steel case, with a newly developed hand-guilloché pattern on the dial.",
Aventurine,https://czapek.com/product/fdc_aventurine/,,czapek,,Faubourg de Cracovie,Aventurine,,,,CHF,34000,https://czapek.com/wp-content/uploads/2022/10/FDC_Adventurine_W_Soldier_Web-1024x1371.jpg,Switzerland,,41.5mm Stainless Steel Case,,Sapphire case back with Anti-reflective treatment on the inner side.,41.5 mm,,,,,,Sapphire crystal Glass-Box with anti-reflective treatment,5 atm,,Dark blue aventurine dial and counters made with three different parts Baton applied indexes with Super Luminova treatment 12 in Arabic numeral with Super Luminova treatment,Dark blue aventurine dial and counters made with three different parts Baton applied indexes with Super Luminova treatment 12 in Arabic numeral with Super Luminova treatment,41.5mm Stainless Steel Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator Strap with a steel deploying buckle,41.5mm Stainless Steel Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator Strap with a steel deploying buckle,41.5mm Stainless Steel Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator Strap with a steel deploying buckle,,Caliber SXH3: Haute Horlogerie integrated automatic Chronograph movement with a bespoke execution,,5 Hz,,"Chronograph, Hours, Minutes & Seconds Chronograph's Minutes at 3 o'clock Chronograph's Hours at 9 o'clock Small seconds at 6 o'clock","Stainless steel caseDark blue aventurine dialArrow hands with SuperLuminova® coatingHour markers in SuperLuminova®Certified Chronometer (COSC)Limited edition of 50 pieces engraved:""1 out of 50""",
Antarctique,https://czapek.com/product/mop_pp/,,czapek,,ANTARCTIQUE S,La Carte des Nuages,,,,,,https://czapek.com/wp-content/uploads/2023/03/close-up-misty.jpg,Switzerland,,Stainless steel case,,Sapphire crystal case-back with anti-reflective treatment,38.5 mm,,,10.6 mm,,,Sapphire crystal glass-box with anti-reflective treatment ARDur©,12 atm,,Dial made of white or grey mother-of-pearl with a grey coating on the back ‘Carte des Nuages’ guilloché gridlines motif Exclusive ‘Antarctique cut’ diamonds at 12 Princess cut diamond hour markers,Dial made of white or grey mother-of-pearl with a grey coating on the back ‘Carte des Nuages’ guilloché gridlines motif Exclusive ‘Antarctique cut’ diamonds at 12 Princess cut diamond hour markers,"Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system Additional rubber or leather strap","Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system Additional rubber or leather strap","Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system Additional rubber or leather strap",,Calibre SXH5: Czapek's in house self-winding mechanical movement,60 hours,4 Hz,,"Hours, Minutes & Seconds","One year after the successful launch of the Antarctique S, Czapek plays on its sporty chic appeal with new dials to complement its sleek 38.5mm case.",
COMPLICITÉ,https://czapek.com/product/complicite-harmony-blue/,,czapek,,PLACE VENDÔME,COMPLICITÉ,,,,,,https://czapek.com/wp-content/uploads/2023/08/HB-Cobra.jpg,Switzerland,,18K 5N rose gold or white gold case with domed sapphire and sandblasted hollowed-out lugs,,,41.8 mm,,,14.8 mm,,,,5 atm,,Open-worked with double escapement on a ’Grainé’ main plate with blue or silver galvanic treatment Circular-grained minutes and hours track Partially skeletonized sword hands Faceted mirror-polished indexes in gold,Open-worked with double escapement on a ’Grainé’ main plate with blue or silver galvanic treatment Circular-grained minutes and hours track Partially skeletonized sword hands Faceted mirror-polished indexes in gold,,,,,Calibre 8 created in collaboration with Bernhard Lederer,72 hours,3 Hz,,"Hours, Minutes, Seconds & Power reserve indicator","Czapek & Cie launches Place Vendôme Complicité, a unique reinterpretation of a double escapement combination initially created in 1930 and very rare in wristwatches. Two independent escapements beat at their own pace, with any rate variations balanced by a differential at 12 o’clock, all beautifully laid out on the dial side.",
COMPLICITÉ,https://czapek.com/product/complicite-stardust/,,czapek,,PLACE VENDÔME,COMPLICITÉ,,,,,,https://czapek.com/wp-content/uploads/2023/08/HB-Cobra.jpg,Switzerland,,18K 5N rose gold or white gold case with domed sapphire and sandblasted hollowed-out lugs,,,41.8 mm,,,14.8 mm,,,,5 atm,,Open-worked with double escapement on a ’Grainé’ main plate with blue or silver galvanic treatment Circular-grained minutes and hours track Partially skeletonized sword hands Faceted mirror-polished indexes in gold,Open-worked with double escapement on a ’Grainé’ main plate with blue or silver galvanic treatment Circular-grained minutes and hours track Partially skeletonized sword hands Faceted mirror-polished indexes in gold,,,,,Calibre 8 created in collaboration with Bernhard Lederer,72 hours,3 Hz,,"Hours, Minutes, Seconds & Power reserve indicator","Czapek & Cie launches Place Vendôme Complicité, a unique reinterpretation of a double escapement combination initially created in 1930 and very rare in wristwatches. Two independent escapements beat at their own pace, with any rate variations balanced by a differential at 12 o’clock, all beautifully laid out on the dial side.",
Emerald Green L,https://czapek.com/product/emerald-green-l/,,czapek,,Quai des Bergues,Emerald Green L,,,,CHF,18800,https://czapek.com/wp-content/uploads/2022/07/QdB_Green_Emerald_L_W_Soldier_Web-1024x1371.jpg,Switzerland,,Stainless steel case,,Sapphire crystal case back with anti-reflective treatment on the inside surface,42.5 mm,,,,,,Curved Sapphire crystal with anti-reflective treatment on the inside surface,5 atm,,Green handmade “Flinqué” enamel dial,Green handmade “Flinqué” enamel dial,Stainless steel case 42.5 mm diameter Curved Sapphire crystal with anti-reflective treatment on the inside surface Sapphire crystal case back with anti-reflective treatment on the inside surface Water-resistance: 50 meters (5 atm) Alligator strap with XO seel pin buckle,Stainless steel case 42.5 mm diameter Curved Sapphire crystal with anti-reflective treatment on the inside surface Sapphire crystal case back with anti-reflective treatment on the inside surface Water-resistance: 50 meters (5 atm) Alligator strap with XO seel pin buckle,Stainless steel case 42.5 mm diameter Curved Sapphire crystal with anti-reflective treatment on the inside surface Sapphire crystal case back with anti-reflective treatment on the inside surface Water-resistance: 50 meters (5 atm) Alligator strap with XO seel pin buckle,,Calibre SXH1: Haute Horlogerie proprietary mechanical hand-wound movement,168 hours,3 Hz,,"Hours, Minutes & Seconds Small second at 7h30 Power reserve indication with weekdays at 4h30",Green handmade “Flinqué” enamel dialExclusive XO stainless steel “Revolution” case42.5 mm diameterCzapek exclusive Ricochet® designWhite steel hands,
Purple Panda,https://czapek.com/product/purple_panda/,,czapek,,Faubourg de Cracovie,Purple Panda,,,,CHF,32000,https://czapek.com/wp-content/uploads/2022/03/FDC_Purple_Panda_Soldier_LR3_color-corrected_LR-1024x1370.jpg,Switzerland,,41.5mm Stainless Steel Case,,Sapphire case back with Anti-reflective treatment on the inner side.,41.5 mm,,,,,,Sapphire crystal Glass-Box with anti-reflective treatment,5 atm,,"Handcrafted Guilloché ""Résonance"" bombé dial in AuPtPdAg Baton applied indexes with Super Luminova treatment 12 in Arabic numeral with Super Luminova treatment","Handcrafted Guilloché ""Résonance"" bombé dial in AuPtPdAg Baton applied indexes with Super Luminova treatment 12 in Arabic numeral with Super Luminova treatment",41.5mm Stainless Steel Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator Strap with a steel deploying buckle,41.5mm Stainless Steel Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator Strap with a steel deploying buckle,41.5mm Stainless Steel Case Sapphire crystal Glass-Box with anti-reflective treatment Sapphire case back with Anti-reflective treatment on the inner side. Water Resistance: 50m Alligator Strap with a steel deploying buckle,,Caliber SXH3: Haute Horlogerie integrated automatic Chronograph movement with a bespoke execution,,5 Hz,,"Chronograph, Hours, Minutes & Seconds Chronograph's Minutes at 3 o'clock Chronograph's Hours at 9 o'clock Small seconds at 6 o'clock Date at 6 o'clock","Stainless steel casePurple & white handcrafted guilloché ""Résonance""dialArrow hands with SuperLuminova® coatingHour markers in SuperLuminova®Certified Chronometer (COSC)Limited edition of 18 pieces engraved:""1 out of 18""All allocations have been now booked. Please contact our retailers for possible availability.",
Antarctique,https://czapek.com/product/revelation_pp/,,czapek,,ANTARCTIQUE,REVELATION,,,,,,https://czapek.com/wp-content/uploads/2023/03/lifsyle.jpg,Switzerland,,Stainless steel case,,Sapphire crystal case-back with anti-reflective treatment,40.5 mm,,,10.6 mm,,,Sapphire crystal glass-box with anti-reflective treatment ARDur©,12 atm,,"Minutes track and small second subdial in grey smoked sapphire crystal Luminescent, rhodium plated steel hour markers","Minutes track and small second subdial in grey smoked sapphire crystal Luminescent, rhodium plated steel hour markers","Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system and micro-adjustment device Additional calf leather or rubber strap","Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system and micro-adjustment device Additional calf leather or rubber strap","Integrated stainless steel bracelet with Czapek exclusive ""Easy Release"" system and micro-adjustment device Additional calf leather or rubber strap",,Calibre SXH7: Czapek's in house self-winding mechanical skeletonized movement,60 hours,4 Hz,,"Hours, Minutes & Seconds","Czapek & Cie has announced the release of a striking new model in its popular Antarctique collection. As its name suggests, the Antarctique Révélation has been skillfully skeletonized and the new bespoke, purpose-built movement exposes its pulsating heart on the dial side, to the thrill of the wearer.",
